"";"year";"n"
"1";1953;8
"2";1954;59
"3";1955;41
"4";1956;17
"5";1957;97
"6";1958;102
"7";1959;29
"8";1960;34
"9";1961;45
"10";1962;32
"11";1963;62
"12";1964;99
"13";1965;270
"14";1966;118
"15";1967;74
"16";1968;187
"17";1969;272
"18";1970;21
"19";1971;65
"20";1972;199
"21";1973;217
"22";1974;48
"23";1975;228
"24";1976;126
"25";1977;262
"26";1978;421
"27";1979;206
"28";1980;428
"29";1981;567
"30";1982;329
"31";1983;389
"32";1984;104
"33";1985;515
"34";1986;318
"35";1987;625
"36";1988;385
"37";1989;269
"38";1990;311
"39";1991;668
"40";1992;711
"41";1993;309
"42";1994;627
"43";1995;511
"44";1996;386
"45";1997;462
"46";1998;618
"47";1999;276
"48";2000;207
"49";2001;648
"50";2002;773
"51";2003;1326
"52";2004;438
"53";2005;325
"54";2006;499
"55";2007;636
"56";2008;682
"57";2009;315
"58";2010;689
"59";2011;63
"60";2012;78
"61";2013;397
"62";2014;573
"63";2015;306
"64";2016;201
"65";2017;274
"66";2018;495
"67";2019;335
"68";2020;802
"69";2021;52
